collected_at_kst,station_id,name,lat,lon,address,available_bikes
2026-06-26 00:00:51,ST0125,가장동 래미안 1단지 건너편(115동),36.332127,127.385649,대전광역시 서구 가장동 45-9,5
2026-06-26 00:00:51,ST0126,괴정동 롯데백화점 허리사랑병원,36.339836,127.391096,대전광역시 서구 괴정동 423-5,0
2026-06-26 00:00:51,ST0127,탄방동 롯데백화점 건너편 골드뱅크,36.341391,127.389783,대전광역시 서구 탄방동 91-8,0
2026-06-26 00:00:51,ST0128,탄방동 서부농협본점,36.342308,127.387883,대전광역시 서구 탄방동 681,2
2026-06-26 00:00:51,ST0129,탄방동 탄방지하차도,36.343318,127.383435,대전광역시 서구 탄방동 641,0
2026-06-26 00:00:51,ST0130,둔산동 대전대학교 대전한방병원 정류장,36.345996,127.379133,대전광역시 서구 둔산동 1136,0
2026-06-26 00:00:51,ST0131,갈마동 경성큰마을아파트(46),36.347661,127.377232,대전광역시 서구 갈마동 1436,1
2026-06-26 00:00:51,ST0132,둔산동 향촌아파트(101동),36.352270,127.376113,대전광역시 서구 둔산동 970,0
2026-06-26 00:00:51,ST0133,월평동 계룡로 대전일보 건너편(갈마동방향),36.354520,127.365583,대전광역시 서구 월평동 1548,1
2026-06-26 00:00:51,ST0134,월평동 한국마사회 빌딩,36.356452,127.363784,대전광역시 서구 월평동 519,4
2026-06-26 00:00:51,ST0135,복수동 대전과학기술대 정문 건너편,36.304837,127.374705,대전광역시 서구 복수동 275-31,0
2026-06-26 00:00:51,ST0136,복수동 대전과학기술대 정문,36.304210,127.375203,대전광역시 서구 복수동 333,0
2026-06-26 00:00:51,ST0137,용산동 미래남교(현대아울렛 방면),36.422576,127.396141,대전광역시 유성구 용산동 609,4
2026-06-26 00:00:51,ST0138,관평동 테크노타워,36.424915,127.393521,대전광역시 유성구 관평동 962,1
2026-06-26 00:00:51,ST0139,죽동 유성구청소년수련관,36.380623,127.323343,대전광역시 유성구 죽동 601-1,2
2026-06-26 00:00:51,ST0140,하기동 침신대네거리(롯데마트),36.384798,127.320819,대전광역시 유성구 하기동 519,9
2026-06-26 00:00:51,ST0141,문평동 3.4공단 새일근린공원,36.446351,127.403352,대전광역시 대덕구 문평동 78-5,9
2026-06-26 00:00:51,ST0142,문평동 3.4공단 문평근린공원,36.443165,127.398440,대전광역시 대덕구 문평동 42-4,0
2026-06-26 00:00:51,ST0143,목상동 상록수아파트 정류장(101동),36.449130,127.412667,대전광역시 대덕구 목상동 185-1,4
2026-06-26 00:00:51,ST0144,문평동 구)대덕경찰서,36.446420,127.406535,대전광역시 대덕구 문평동 83-2,5
2026-06-26 00:00:51,ST0145,신일동 대덕산업단지 BRT정류장,36.438380,127.395094,대전광역시 대덕구 문평동 92-1,0
2026-06-26 00:00:51,ST0146,신일동 삼양패키징 대전2공장 정류장,36.444337,127.404176,대전광역시 대덕구 신일동 1685-3,0
2026-06-26 00:00:51,ST0147,송강동 송강체육관,36.431516,127.387258,대전광역시 유성구 송강동 200-2,0
2026-06-26 00:00:51,ST0148,송강동 송강근린공원 청솔한양아파트 206동 건너편,36.435157,127.383983,대전광역시 유성구 송강동 9,3
2026-06-26 00:00:51,ST0149,관평동 롯데마트(관평점),36.428050,127.386542,대전광역시 유성구 관평동 887,3
2026-06-26 00:00:51,ST0150,관평동 롯데마트대덕점(관평중학교 방면) 정류장,36.426897,127.389510,대전광역시 유성구 관평동 807,0
2026-06-26 00:00:51,ST0151,관평동 티플라자,36.425805,127.389969,대전광역시 유성구 관평동 930,0
2026-06-26 00:00:51,ST0152,복수동 초록마을아파트 3단지,36.300386,127.378899,대전광역시 서구 복수동 613,3
2026-06-26 00:00:51,ST0153,삼성동 한밭빌라,36.341626,127.414795,대전광역시 동구 삼성동 343-22,15
2026-06-26 00:00:51,ST0154,중촌동 금호아파트(8동),36.340306,127.406599,대전광역시 중구 중촌동 10-2,0
