station_id,is_weekend,hour,target_bikes,capacity
ST0014,False,7,13,27
ST0014,False,8,13,27
ST0014,False,9,1,27
ST0014,False,10,1,27
ST0014,False,11,2,27
ST0014,False,12,2,27
ST0014,False,13,4,27
ST0014,False,14,3,27
ST0014,False,15,3,27
ST0014,False,16,3,27
ST0014,False,17,4,27
ST0014,False,18,4,27
ST0014,False,19,5,27
ST0014,False,20,3,27
ST0014,False,21,2,27
ST0014,False,22,1,27
ST0014,False,23,4,27
ST0014,True,0,1,27
ST0014,True,1,1,27
ST0014,True,2,1,27
ST0014,True,3,1,27
ST0014,True,4,1,27
ST0014,True,5,1,27
ST0014,True,6,5,27
ST0014,True,7,1,27
ST0014,True,8,2,27
ST0014,True,9,3,27
ST0014,True,10,6,27
ST0014,True,11,5,27
ST0014,True,12,6,27
ST0014,True,13,3,27
ST0014,True,14,2,27
ST0014,True,15,5,27
ST0014,True,16,4,27
ST0014,True,17,3,27
ST0014,True,18,3,27
ST0014,True,19,3,27
ST0014,True,20,2,27
ST0014,True,21,7,27
ST0014,True,22,2,27
ST0014,True,23,0,27
ST0015,False,0,2,11
ST0015,False,1,2,11
ST0015,False,2,0,11
ST0015,False,3,0,11
ST0015,False,4,0,11
ST0015,False,5,0,11
ST0015,False,6,3,11
ST0015,False,7,7,11
ST0015,False,8,2,11
ST0015,False,9,0,11
ST0015,False,10,2,11
ST0015,False,11,1,11
ST0015,False,12,2,11
ST0015,False,13,2,11
ST0015,False,14,1,11
ST0015,False,15,1,11
ST0015,False,16,2,11
ST0015,False,17,2,11
ST0015,False,18,4,11
ST0015,False,19,4,11
ST0015,False,20,3,11
ST0015,False,21,1,11
ST0015,False,22,2,11
ST0015,False,23,1,11
ST0015,True,0,1,11
ST0015,True,1,1,11
ST0015,True,2,1,11
ST0015,True,3,1,11
ST0015,True,4,0,11
ST0015,True,5,0,11
ST0015,True,6,1,11
ST0015,True,7,1,11
ST0015,True,8,4,11
ST0015,True,9,1,11
ST0015,True,10,2,11
ST0015,True,11,1,11
ST0015,True,12,2,11
ST0015,True,13,2,11
ST0015,True,14,0,11
ST0015,True,15,1,11
ST0015,True,16,1,11
ST0015,True,17,2,11
ST0015,True,18,4,11
ST0015,True,19,3,11
ST0015,True,20,2,11
ST0015,True,21,1,11
ST0015,True,22,1,11
ST0015,True,23,2,11
ST0016,False,0,1,5
ST0016,False,1,0,5
ST0016,False,2,0,5
ST0016,False,3,0,5
ST0016,False,4,0,5
ST0016,False,5,0,5
ST0016,False,6,1,5
ST0016,False,7,3,5
ST0016,False,8,2,5
ST0016,False,9,0,5
ST0016,False,10,1,5
ST0016,False,11,1,5
ST0016,False,12,1,5
ST0016,False,13,2,5
ST0016,False,14,0,5
ST0016,False,15,0,5
ST0016,False,16,1,5
ST0016,False,17,1,5
ST0016,False,18,1,5
ST0016,False,19,2,5
ST0016,False,20,2,5
ST0016,False,21,0,5
ST0016,False,22,0,5
ST0016,False,23,0,5
ST0016,True,0,0,5
ST0016,True,1,1,5
ST0016,True,2,0,5
ST0016,True,3,0,5
ST0016,True,4,1,5
ST0016,True,5,0,5
ST0016,True,6,1,5
ST0016,True,7,0,5
ST0016,True,8,1,5
ST0016,True,9,0,5
ST0016,True,10,1,5
ST0016,True,11,1,5
ST0016,True,12,1,5
ST0016,True,13,1,5
ST0016,True,14,1,5
ST0016,True,15,1,5
ST0016,True,16,1,5
ST0016,True,17,1,5
ST0016,True,18,1,5
ST0016,True,19,1,5
ST0016,True,20,1,5
ST0016,True,21,1,5
ST0016,True,22,0,5
ST0016,True,23,1,5
ST0017,False,0,1,7
ST0017,False,1,2,7
